id,name,aliases,domain,tags,type,summary,logic,physics,decision_theory
p_hydraulic_jump,Hydraulic Jump Paradox,,physics,"fluid dynamics;shock wave",intuition,"Slow shallow flow jumps to fast deep flow counterintuitively.",0,1,0
p_venturi,Venturi Paradox,,physics,"fluid dynamics;pressure",intuition,"Narrowing pipe increases speed, decreases pressure unexpectedly.",0,1,0
p_standing_wave,Standing Wave Paradox,,physics,"wave interference;energy",intuition,"Stationary pattern emerges from moving wave superposition.",0,1,0
p_grim_reaper,Grim Reaper Paradox,,philosophy,"supertasks;probability",antinomy,"Infinite grim reapers prevent death yet person survives, challenging supertask convergence.",1,0,0
p_theseus,Ship of Theseus,,philosophy,"identity;gradual replacement",intuition,"Ship fully replaced plank-by-plank: is it the same ship?",0,0,0
p_teletransporter,Teletransporter Paradox,,philosophy,"personal identity;duplication",antinomy,"Body destroyed and rebuilt elsewhere: is it you or copy?",1,0,0
p_spectrum,Spectrum Argument,,philosophy,"Sorites;vagueness",antinomy,"Continuous color change creates Sorites paradox for boundaries.",1,0,0
p_tomorrow,Paradox of Tomorrow,,philosophy,"future contingents",antinomy,"Future events neither true nor false yet appear determinable.",1,0,0
p_fib,Fibonacci Heap Paradox,,computer science,"amortized analysis",veridical,"Worst-case operations amortized to logarithmic despite pathological cases.",0,0,0
p_zombie,Philosophical Zombie Paradox,,philosophy,"consciousness;qualia",antinomy,"Conceivable beings physically identical but unconscious challenge physicalism.",1,0,0
p_mary_room,Mary's Room Paradox,"Knowledge Argument",philosophy,"qualia;physicalism",antinomy,"Neuroscientist knowing all physics of color learns new upon seeing red.",1,0,0
p_chinese_room,Chinese Room Paradox,,philosophy,"AI;understanding",antinomy,"Person following Chinese rules lacks understanding despite perfect output.",1,0,0
p_swampman,Swampman Paradox,,philosophy,"intentionality;teleology",antinomy,"Lightning-created duplicate lacks intentional states despite identical behavior.",1,0,0
p_boltzmann_brain,Boltzmann Brain Paradox,,cosmology,"thermodynamics;probability",antinomy,"Fluctuation brains more likely than ordered observers in thermal equilibrium.",0,1,0
p_simpson_decision,Simpson's Paradox in Decisions,,decision theory,"aggregation;choice",veridical,"Optimal subgroup choices aggregate to suboptimal overall.",0,0,1
p_utility_monster,Utility Monster Paradox,,ethics,"utilitarianism;distribution",antinomy,"Being gaining extreme utility from resources justifies taking all.",0,0,1
p_repugnant_conclusion,Repugnant Conclusion Paradox,,ethics,"population ethics",antinomy,"Total utilitarianism implies barely worth living lives preferable to quality.",0,0,1
p_wirehead,Wirehead Paradox,,ethics,"reward hacking;AI alignment",antinomy,"Direct reward stimulation preferred over goal achievement.",0,0,1
p_pygmalion,Pygmalion Paradox,,psychology,"expectation;performance",veridical,"Higher expectations create better performance, self-fulfilling.",0,0,1
p_placebo,Placebo Paradox,,medicine,"expectation;biology",veridical,"Inactive treatment works through belief despite no mechanism.",0,0,0
p_no_miracles,No Miracles Argument Paradox,,philosophy of science,"scientific realism",antinomy,"Success of science inexplicable without approximate truth.",1,0,0
p_pessimistic_induction,Pessimistic Meta-Induction,,philosophy of science,"theory change",veridical,"Past successful theories false implies current theories approximate.",1,0,0
p_simulacra,Simulacra and Simulation Paradox,,philosophy,"hyperreality;representation",antinomy,"Representations replace reality until no distinction remains.",1,0,0
p_uncertainty_principle,Uncertainty Principle Paradox,,physics,"quantum;measurement",veridical,"Precision in position destroys momentum knowledge.",0,1,0
p_observer_effect,Observer Effect Paradox,,physics,"quantum;measurement",veridical,"Observation alters quantum system state fundamentally.",0,1,0
p_double_slit,Double Slit Paradox,,physics,"wave-particle duality",veridical,"Particles create interference alone, behave as particles when observed.",0,1,0
p_delayed_choice,Delayed Choice Paradox,,physics,"quantum;retrocausality",antinomy,"Future measurement choice affects past particle behavior.",0,1,0
p_which_way,Which-Way Paradox,,physics,"quantum;complementarity",veridical,"Path information destroys interference pattern.",0,1,0
p_epistemic,Epistemic Paradoxes General,,epistemology,"justification;regress",antinomy,"Infinite regress, circularity, or foundationalism all problematic for knowledge.",1,0,0
p_münchhausen,Münchhausen Trilemma,,epistemology,"justification;circularity",veridical,"All justification faces regress, circularity, or axiomatic stopping.",1,0,0
p_pyrrhonian,Pyrrhonian Skepticism Paradox,,philosophy,"agrippan;modes",antinomy,"Suspension of belief justified by reasons undercuts justification.",1,0,0
p_self_defeating,Self-Defeating Belief Paradox,,epistemology,"Moore;practical",antinomy,"Beliefs whose content contradicts their rational holding.",1,0,0
p_access,Access Paradox,,epistemology,"justification;consciousness",antinomy,"Unconscious justification incompatible with conscious access.",1,0,0
p_new_evil_demon,New Evil Demon Paradox,,epistemology,"reliabilism;internalism",antinomy,"Demon-induced true beliefs lack justification despite reliability.",1,0,0
p_lotus_eater,Lotus Eater Paradox,,ethics,"experience machine;wellbeing",antinomy,"Pleasure without reality preferred? Challenges hedonism.",0,0,1
p_sisyphus,Sisyphus Happiness Paradox,,philosophy,"absurdity;meaning",veridical,"Happiness possible despite eternal futile labor.",0,0,0
p_existential,Existential Paradox,,philosophy,"freedom;responsibility",antinomy,"Radical freedom creates burden of absolute responsibility.",1,0,1
p_nihilism,Nihilism Paradox,,philosophy,"meaning;absurdity",antinomy,"No meaning implies search for meaning is absurd.",1,0,0
p_painters,Painter's Paradox,,mathematics,"measure;infinity",intuition,"Painting infinitely many stripes or regions in finite area challenges intuition about measure.",0,0,0
p_crocodile,Crocodile Dilemma,,logic,"promise;prediction",antinomy,"Crocodile steals child, promises return if father guesses correctly what crocodile will do.",1,0,1
p_catch22_logic,Catch-22 Logic Paradox,,logic,"self-reference;need",veridical,"Need something only obtainable by not needing it.",1,0,0
p_ross,Ross Paradox,,logic,"imperatives;disjunction",antinomy,"Disjunction introduction permits arbitrary imperatives from conditionals.",1,0,0
p_temperature,Temperature Paradox,,logic,"predication;change",antinomy,"'Temperature is 90 and rising' seems to imply 90 is rising.",1,0,0
p_bhartrhari,Bhartrhari Paradox,,logic,"nameability",antinomy,"Things unnameable are named by calling them unnameable.",1,0,0
p_hilbert_bernays,Hilbert-Bernays Paradox,,logic,"successor;natural numbers",antinomy,"Name equaling successor of number it names.",1,0,0
p_bonini,Bonini's Paradox,,decision theory,"modeling;complexity",veridical,"More complete models of complex systems become less understandable.",0,0,1
p_code_talker,Code-Talker Paradox,,linguistics,"communication;secrecy",antinomy,"Language both enables and blocks communication.",1,0,0
p_necktie,Necktie Paradox,,probability,"wagering;exchange",antinomy,"Wager between two seems to favor both parties.",0,0,1
p_three_cards,Three Cards Problem,,probability,"conditional;color",veridical,"Determining card underside color from random draw.",0,0,0
p_pigeonhole,Pigeonhole Principle Paradox,,mathematics,"combinatorics;collision",veridical,"Finite pigeons guarantee collision in fewer holes.",0,0,0
p_coin_rotation,Coin Rotation Paradox,,geometry,"rotation;circumference",veridical,"Coin rotating around identical coin makes full revolution after half circumference.",0,0,0
p_missing_square,Missing Square Puzzle,,geometry,"dissection;area",falsidical,"Figures same pieces but different areas due to visual trick.",0,0,0
p_smale,Smale's Paradox,,topology,"sphere eversion",veridical,"Sphere turned inside out topologically without tearing.",0,0,0
p_abelson,Abelson's Paradox,,statistics,"effect size;practicality",veridical,"Effect size may not indicate practical meaning.",0,0,0
p_grice,Grice's Paradox,,probability,"conditionals;implicature",veridical,"Conditionals and probabilities more complex than casual reading.",1,0,0
p_grandi,Grandi's Series,,mathematics,"infinite series;convergence",antinomy,"Sum 1-1+1-1+... equals 1, 0, or 1/2.",0,0,0
p_benardete,Benardete's Paradox,,philosophy,"supertasks;gods",antinomy,"Infinite gods with barriers: no god stops man.",1,0,0
p_albert,Albert's Paradox,,physics,"supertasks;limits",antinomy,"Supertask convergence depends on time parameterization.",0,1,0
p_antitrust,Antitrust Paradox,,economics,"competition;regulation",veridical,"Antitrust enforcement protects inefficient competitors.",0,0,1
p_deaton,Deaton Paradox,,economics,"consumption;income",veridical,"Consumption smooth despite sharp income variations.",0,0,1
p_fredkin,Fredkin's Paradox,,decision theory,"similarity;deliberation",veridical,"More similar choices take more decision time.",0,0,1
p_hedgehog,Hedgehog's Dilemma,,social choice,"intimacy;harm",veridical,"Intimacy requires mutual harm despite goodwill.",0,0,1
p_no_show,No-Show Paradox,,social choice,"voting;strategy",veridical,"Voting for candidate can cause loss vs abstaining.",0,0,1
p_preparedness	Preparedness Paradox,,decision theory,"risk perception",veridical,"Preparation reduces perceived catastrophe seriousness.",0,0,1
p_relevance,Relevance Paradox,,decision theory,"information seeking",veridical,"Relevant info not sought until relevance clear.",0,0,1
p_willpower,Willpower Paradox,,decision theory,"open mindedness;motivation",veridical,"Open minds more goal-directed than self-declared objectives.",0,0,1
p_moving_rows,Moving Rows Paradox,,physics,"relativity of motion",antinomy,"Moving rows pass stationary differently than each other.",0,1,0
p_paradox_place,Paradox of Place,,physics,"location;regression",antinomy,"Everything existing has place, which has place ad infinitum.",0,1,0
p_millet,Paradox of Millet Grain,,physics,"sound;aggregation",antinomy,"Single grain silent, thousand make sound.",0,1,0
p_algol,Algol Paradox,,astrophysics,"binary stars;age",veridical,"Binary partners different ages despite same formation.",0,1,0
p_gzk,GZK Paradox,,astrophysics,"cosmic rays;relativity",veridical,"High-energy rays violate Greisen-Zatsepin-Kuzmin limit.",0,1,0
p_paradox_youth,Paradox of Youth,,astrophysics,"black hole;stars",veridical,"Overabundance young stars near galactic center black hole.",0,1,0
p_archer,Archer's Paradox,,physics,"arrow trajectory",veridical,"Archer aims off-target to hit due to arrow flex.",0,1,0
p_archimedes,Archimedes Paradox,,physics,"buoyancy;displacement",veridical,"Battleship floats in few liters water via displacement.",0,1,0
p_feynman_sprinkler,Feynman Sprinkler,,physics,"fluid dynamics;rotation",veridical,"Submerged sprinkler sucking fluid rotation direction.",0,1,0
p_painleve,Painlevé Paradox,,physics,"rigid body;friction",veridical,"Rigid dynamics with friction inconsistent.",0,1,0
p_boyles_flask,Boyle's Self-Flowing Flask,,physics,"perpetual motion;fluid",falsidical,"Flask fills itself but violates perpetual motion ban.",0,1,0
p_cool_tropics,Cool Tropics Paradox,,paleoclimatology,"temperature;proxies",veridical,"Tropics cooler than models during warm periods.",0,1,0
p_holographic,Holographic Principle Paradox,,physics,"information;volume",veridical,"Info proportional to surface area not volume.",0,1,0
